soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
spliceAI+SPIDEX_dpsi+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
spliceAI+SPIDEX_dpsi+squirls+spliceogen,0,24.000000,0.000000,214.000000,23.000000,1.0000,0.1801,0.1008,1.0000,1.0000,0.0970,0.1832,0.0989
spliceAI+SPIDEX_zscore+pangolin+squirls,0,24.000000,0.000000,210.000000,27.000000,1.0000,0.1954,0.1026,1.0000,1.0000,0.1139,0.1860,0.1081
spliceAI+SPIDEX_zscore+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
spliceAI+SPIDEX_zscore+squirls+spliceogen,0,24.000000,0.000000,214.000000,23.000000,1.0000,0.1801,0.1008,1.0000,1.0000,0.0970,0.1832,0.0989
spliceAI+pangolin+squirls+spliceogen,0,18.000000,6.000000,88.000000,149.000000,1.0000,0.6398,0.1698,0.9613,0.7500,0.6287,0.2769,0.2228
Trap+SPIDEX_dpsi+SPIDEX_zscore+pangolin,0,23.000000,1.000000,201.000000,36.000000,1.0000,0.2261,0.1027,0.9730,0.9583,0.1519,0.1855,0.0913
Trap+SPIDEX_dpsi+SPIDEX_zscore+squirls,0,24.000000,0.000000,209.000000,28.000000,1.0000,0.1992,0.1030,1.0000,1.0000,0.1181,0.1868,0.1103
Trap+SPIDEX_dpsi+SPIDEX_zscore+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
Trap+SPIDEX_dpsi+pangolin+squirls,0,24.000000,0.000000,210.000000,27.000000,1.0000,0.1954,0.1026,1.0000,1.0000,0.1139,0.1860,0.1081
Trap+SPIDEX_dpsi+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
Trap+SPIDEX_dpsi+squirls+spliceogen,0,24.000000,0.000000,213.000000,24.000000,1.0000,0.1839,0.1013,1.0000,1.0000,0.1013,0.1839,0.1013
Trap+SPIDEX_zscore+pangolin+squirls,0,24.000000,0.000000,210.000000,27.000000,1.0000,0.1954,0.1026,1.0000,1.0000,0.1139,0.1860,0.1081
Trap+SPIDEX_zscore+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
Trap+SPIDEX_zscore+squirls+spliceogen,0,24.000000,0.000000,213.000000,24.000000,1.0000,0.1839,0.1013,1.0000,1.0000,0.1013,0.1839,0.1013
Trap+pangolin+squirls+spliceogen,0,18.000000,6.000000,87.000000,150.000000,1.0000,0.6437,0.1714,0.9615,0.7500,0.6329,0.2791,0.2256
SPIDEX_dpsi+SPIDEX_zscore+pangolin+squirls,0,24.000000,0.000000,208.000000,29.000000,1.0000,0.2031,0.1034,1.0000,1.0000,0.1224,0.1875,0.1125
SPIDEX_dpsi+SPIDEX_zscore+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
SPIDEX_dpsi+SPIDEX_zscore+squirls+spliceogen,0,24.000000,0.000000,213.000000,24.000000,1.0000,0.1839,0.1013,1.0000,1.0000,0.1013,0.1839,0.1013
SPIDEX_dpsi+pangolin+squirls+spliceogen,0,24.000000,0.000000,214.000000,23.000000,1.0000,0.1801,0.1008,1.0000,1.0000,0.0970,0.1832,0.0989
